"Gender","Customer Type","Age","Type of Travel","Class","Flight Distance","Inflight wifi service","Departure/Arrival time convenient","Ease of Online booking","Gate location","Food and drink","Online boarding","Seat comfort","Inflight entertainment","On-board service","Leg room service","Baggage handling","Checkin service","Inflight service","Cleanliness","Departure Delay in Minutes","Arrival Delay in Minutes","satisfaction"
"Male","Loyal Customer",30,"Personal Travel","Eco",201,"3","1","3","4","2","3","2","2","3","1","4","1","3","2",27,25,"neutral or dissatisfied"
"Female","Loyal Customer",39,"Business travel","Eco",157,"2","1","1","1","2","2","2","2","3","2","4","1","3","2",0,0,"satisfied"
"Female","Loyal Customer",53,"Business travel","Business",3226,"4","4","4","4","3","1","4","5","5","5","5","3","5","1",0,0,"satisfied"
"Female","Loyal Customer",12,"Personal Travel","Eco Plus",580,"4","5","4","4","3","4","3","3","3","4","4","5","5","3",14,8,"neutral or dissatisfied"
"Female","Loyal Customer",72,"Business travel","Eco Plus",1146,"1","1","1","1","1","4","4","1","1","1","1","1","1","3",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",53,"Business travel","Business",1612,"0","0","0","1","1","1","2","3","3","3","3","5","3","2",0,0,"satisfied"
"Female","disloyal Customer",25,"Business travel","Business",528,"5","0","5","2","2","5","2","2","5","2","5","4","4","2",0,0,"satisfied"
"Female","Loyal Customer",30,"Personal Travel","Eco",1249,"2","4","2","2","1","2","1","1","4","3","5","5","5","1",0,0,"neutral or dissatisfied"
"Male","disloyal Customer",28,"Business travel","Eco",1444,"3","3","3","3","5","3","5","5","1","2","3","2","3","5",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",57,"Business travel","Business",451,"3","3","3","3","5","1","3","4","4","4","4","2","4","4",0,0,"satisfied"
"Female","Loyal Customer",28,"Business travel","Business",1909,"2","2","2","2","4","4","4","4","3","5","5","2","3","4",0,0,"satisfied"
"Male","Loyal Customer",26,"Personal Travel","Eco",631,"2","5","2","5","2","2","2","2","2","1","4","3","3","2",18,12,"neutral or dissatisfied"
"Male","disloyal Customer",34,"Business travel","Eco",1112,"2","2","2","3","5","2","5","5","2","3","4","1","4","5",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",41,"Business travel","Business",1157,"2","2","2","2","2","5","4","5","5","5","5","3","5","5",0,0,"satisfied"
"Male","Loyal Customer",34,"Business travel","Business",787,"4","4","4","4","3","5","5","4","4","4","4","5","4","3",1,0,"satisfied"
"Male","Loyal Customer",55,"Business travel","Business",2360,"3","3","5","3","5","5","5","5","5","5","5","3","5","5",0,0,"satisfied"
"Female","Loyal Customer",8,"Personal Travel","Eco",187,"3","1","0","2","3","0","2","3","3","5","3","4","3","3",1,0,"neutral or dissatisfied"
"Female","Loyal Customer",37,"Personal Travel","Eco",1197,"2","4","1","3","4","1","4","4","5","3","4","4","5","4",3,0,"neutral or dissatisfied"
"Female","Loyal Customer",39,"Business travel","Business",3985,"2","2","3","2","5","4","5","4","4","4","4","4","4","5",0,0,"satisfied"
"Female","Loyal Customer",63,"Personal Travel","Eco",453,"2","4","2","5","3","5","5","3","3","2","3","3","3","5",50,54,"neutral or dissatisfied"
"Male","Loyal Customer",55,"Personal Travel","Eco",1372,"4","5","4","3","4","4","2","4","3","5","5","5","5","4",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",30,"Personal Travel","Eco",744,"2","2","2","3","4","2","3","4","3","3","3","1","4","4",0,0,"neutral or dissatisfied"
